2020-04-15 01:34:41.260  INFO [clientui,,,] 12188 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_CLIENTUI/LAPTOP-R62TREJ2.home:clientui:8090: registering service...
2020-04-15 01:34:41.401  INFO [clientui,,,] 12188 --- [main] c.U.clientui.ClientuiApplicationTests    : Started ClientuiApplicationTests in 38.188 seconds (JVM running for 40.93)
2020-04-15 01:34:41.501  INFO [clientui,,,] 12188 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_CLIENTUI/LAPTOP-R62TREJ2.home:clientui:8090 - registration status: 204
2020-04-15 01:34:42.807  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application CLIENTUI with eureka with status DOWN
2020-04-15 01:34:42.810  WARN [clientui,,,] 12188 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1586907282810, current=DOWN, previous=UP]
2020-04-15 01:34:42.812  INFO [clientui,,,] 12188 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_CLIENTUI/LAPTOP-R62TREJ2.home:clientui:8090: registering service...
2020-04-15 01:34:42.820  INFO [clientui,,,] 12188 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_CLIENTUI/LAPTOP-R62TREJ2.home:clientui:8090 - registration status: 204
2020-04-15 01:34:43.010  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-15 01:34:43.021  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-04-15 01:34:46.026  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Unregistering ...
2020-04-15 01:34:46.041  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_CLIENTUI/LAPTOP-R62TREJ2.home:clientui:8090 - deregister  status: 200
2020-04-15 01:34:46.061  INFO [clientui,,,] 12188 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
