2020-04-15 01:31:05.227  INFO [zuul-server,,,] 13268 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=zuul-server, profiles=[default], label=null, version=fc976e353d551a0a0ea7a51737bf5dfb54c16f2f, state=null
2020-04-15 01:31:05.265  INFO [zuul-server,,,] 13268 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/SebFlatBeat/bibliotheque-config-repo.git/zuul-server.properties'}]
2020-04-15 01:31:05.423  INFO [zuul-server,,,] 13268 --- [main] c.U.z.ZuulServerApplicationTests         : No active profile set, falling back to default profiles: default
2020-04-15 01:31:08.261  WARN [zuul-server,,,] 13268 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-04-15 01:31:08.441  WARN [zuul-server,,,] 13268 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-04-15 01:31:09.436  INFO [zuul-server,,,] 13268 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=7a359c9e-7a40-3eb8-974e-3b7cd86f3535
2020-04-15 01:31:12.658  WARN [zuul-server,,,] 13268 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-15 01:31:12.662  INFO [zuul-server,,,] 13268 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-15 01:31:12.693  WARN [zuul-server,,,] 13268 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-15 01:31:12.698  INFO [zuul-server,,,] 13268 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
